Entry ID	Journal Title 	Secondary Title	Year	Month	Issue	Section	Author, Original	Author LN, Original	Author FN, Original	Contribution Title	Genre (As indicated in ToC)	Start Page	End Page	Notes	Place	Publisher
1993_01_01	Gay, Славяне!		1993		1					От редакции		1				
1993_01_02	Gay, Славяне!		1993		1	СМЕРТЬ ЧАЙКОВСКОГО. ТОЧКИ ЗРЕНИЯ. 	Джоэл Шпигельман	Шпигельман	Джоэл	Суд, приговор и смерть Чайковского. 		2		Материалы американского журнала High Fidelity за 1981 год. Перевод с англ. С.Щербакова		
1993_01_03	Gay, Славяне!		1993		1	СМЕРТЬ ЧАЙКОВСКОГО. ТОЧКИ ЗРЕНИЯ. 	Нина Берберова	Берберова	Нина	Пересмотр версии "самоубийства" Чайковского : Опровержение. 		6		Материалы американского журнала High Fidelity за 1981 год. Перевод с англ. С.Щербакова		
1993_01_04	Gay, Славяне!		1993		1	СМЕРТЬ ЧАЙКОВСКОГО. ТОЧКИ ЗРЕНИЯ. 	Малькольм Браун	Браун	Малькольм	Пересмотр версии "самоубийства" Чайковского : Опровержение. 		6		Материалы американского журнала High Fidelity за 1981 год. Перевод с англ. С.Щербакова		
1993_01_05	Gay, Славяне!		1993		1	СМЕРТЬ ЧАЙКОВСКОГО. ТОЧКИ ЗРЕНИЯ. 	Симон Карлинский	Карлинский	Симон	Пересмотр версии "самоубийства" Чайковского : Опровержение. 		6		Материалы американского журнала High Fidelity за 1981 год. Перевод с англ. С.Щербакова		
1993_01_06	Gay, Славяне!		1993		1	КУЛЬТУРОЛОГИЯ.	Геннадий Трифонов	Трифонов	Геннадий	Советские гомосексуалисты: вчера,сеrодия, завтра		9				
1993_01_07	Gay, Славяне!		1993		1	КУЛЬТУРОЛОГИЯ.	Ольга Жук	Жук	Ольга	Лесбийская субкультура. Исторические корни лесбиянства в бывшем СССР. (Постановка вопроса).		16				
1993_01_08	Gay, Славяне!		1993		1	ЛИТЕРАТУРНАЯ МОЗАИКА.	Геннадий Трифонов	Трифонов	Геннадий	Письма из тюрьмы. Стихи. Предисловие Д. Дара	Стихи.	21		Предисловие Д. Дара		
1993_01_09	Gay, Славяне!		1993		1	ЛИТЕРАТУРНАЯ МОЗАИКА.	Геннадий Трифонов	Трифонов	Геннадий	Жизнь или смерть. (Паоло Пазолини)		28				
1993_01_10	Gay, Славяне!		1993		1	ЛИТЕРАТУРНАЯ МОЗАИКА.	Владимир Веселкин	Веселкин	Владимир	Письмо к самому себе. Стихи. Рисунки автора. Придсловие Г. Трифонова.	Стихи. Рисунки автора.	34		Предисловие Г. Трифонова		
