Entry ID	Journal Title	Secondary Title	Year	Month	Issue	Section	Author, Original	Author LN, Original	Author FN, Original	Contribution Title	Genre (As indicated in ToC)	Start Page	End Page	Notes	Place	Publisher
1999_01_01	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		Ольга Герт	Герт	Ольга	Радикальный феминизм: что это такое?		6	10	Excerpt in TOC: "Наш журнал называется 'радикально-феминистский', хотя проще было бы его назвать 'лесбийский.' Однако мы пошли более сложным путем."		
1999_01_02	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		Елена Фролова	Фролова	Елена	"Тайна песни..." (интервью)		11	15	Нет ли у Вас каких-то пережитков страха открыто выносить на сцену ее интимную лирику? Нет. Это все о любви... А Кызмин, Чайковский, Зинаида Гиппиус?.. Любовь открывает мир и любовь женщины к женщине, безусловно, тоже. 		
1999_01_03	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		София Парнок	Парнок	София	Лесбос! Песнопенья колыбель...		16	19	"Розы Пиерии"--это своеобразная стилизация под древнюю классическую поэзию, преимущественно под раннюю эолийскую лирику с ее витиеватостью и музыкальной словесностью. 		
1999_01_04	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		С. И. Липкин	Липкин	С. И.	"Такое бывало..." (Воспоминания о Софии Парнок)		20	21	У нее были довольно широкие плечи, очень хорошая улыбка, но глаза грустные, лицо - симпатичное; молчаливая. Я с ней встречался не часто.		
1999_01_05	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		Лиляна Хашимова	Хашимова 	Лиляна	Вполголоса		22	38	Как вот сейчас мы сидим в темноте, так и у меня внутри: тихо, темно, тошно. И всё хочется идти куда-то, далеко-далеко... Ты знаешь, мне иногда кажется, где-то очень далеко меня ждут, а кто ждёт, где, зачем - не знаю. Вот мне и хочется бежать туда, где ждут... знать бы только! - и побежала б. 		
1999_01_06	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		Ольга Герт	Герт	Ольга	Вопрос без ответа (рассказ между делом за чашкой чая)		39	41	Она была царственно игрива и насмешливо трагична. Она была прекрасна во всем - в словах, в жестах, в голосе.		
1999_01_07	Остров	художественно-публицистический и радикально-феминистский журнал	1999	декабрь	1		П. Белопольская	Белопольская	П.	Роль		42	44	.......Боже, да она, по-моему, влюбилась. Неужели бывает любовь с первого взгляда? ....... Наверное....... Заглянем-ка в сценарий.......		
2000_02_01	Остров	художественно-публицистический и радикально-феминистский журнал	2000	март	2					Интервью с Еленой Григорьевной и Натальей Воронцовой-Юрьевой		2	4	Е.Г.: Идея публикации первой книги романа "Снег для Марины" тесно связана с деятельностью Архива лесбиянок и геев. Среди нашего собрания находятся рукописи авторов, никогда ранее не публиковавшиеся. 		
2000_02_02	Остров	художественно-публицистический и радикально-феминистский журнал	2000	март	2		А. Аксёнова	Аксёнова	А.	Ты далеко... (стихи)		5	5			
2000_02_03	Остров	художественно-публицистический и радикально-феминистский журнал	2000	март	2		Дэйвид Туллер	Туллер	Дэйвид	Приключения "сексуального шпиона" на даче (глава из книги)		6	20	Но когда она поняла, что все всерьез и надолго - отношения стали натянутыми. Так продолжалось несколько лет. До того дня, когда мы втроем занялись любовью. Только тогда из наших отношений ушла напряженность. 		
2000_02_04	Остров	художественно-публицистический и радикально-феминистский журнал	2000	март	2		Марина Кулакова	Кулакова	Марина	Не дружба, а любовь... (стихи)		21	24			
2000_02_05	Остров	художественно-публицистический и радикально-феминистский журнал	2000	март	2		Лиляна Хашимова	Хашимова	Лиляна	Вполголоса (окончание повести)		25	37	Они обе поднялись, осторожно и трепетно переплели руки, и, глотнув каждая из чужой рюмки, остались стоять, глядя друг другу в глаза. Веденеева медленно опустила на стол фужер с вином, София поставила рядом свой		
2000_02_06	Остров	художественно-публицистический и радикально-феминистский журнал	2000	март	2		С. Я. Парнок	Парнок	С. Я.	Письма С. Я. Парнок к Н. Е. Веденеевой		38	44			
