Entry ID	Journal Title	Secondary title	Year	Month	Issue	Section	Author, Transliterated	Author LN, Transliterated	Author FN, Transliterated	Contribution Title, Transliterated	Genre (As indicated in ToC)	Start Page	End Page	Notes	Place	Publisher	Source
1999_01_01	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		Ol'ga Gert	Gert	Ol'ga	Radikal'nyi feminizm: chto eto takoe?		6	10	Excerpt in TOC: "Nash zhurnal nazyvaetsia 'radikal'no-feministskii', khotia proshche bylo by ego nazvat' 'lesbiiskii.' Odnako my poshli bolee slozhnym putem."			
1999_01_02	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		Elena Frolova	Frolova	Elena	"Taina pesni..." (interv'iu)		11	15	Net li u Vas kakikh-to perezhitkov strakha otkryto vynosit' na stsenu ee intimnuiu liriku? Net. Eto vse o liubvi... A Kyzmin, Chaikovskii, Zinaida Gippius?.. Liubov' otkryvaet mir i liubov' zhenshchiny k zhenshchine, bezuslovno, tozhe.			
1999_01_03	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		Sofiia Parnok	Parnok	Sofiia	Lesbos! Pesnopen'ia kolybel'...		16	19	"Rozy Pierii"--eto svoeobraznaia stilizatsiia pod drevniuiu klassicheskuiu poeziiu, preimushchestvenno pod ranniuiu eoliiskuiu liriku s ee vitievatost'iu i muzykal'noi slovesnost'iu.			
1999_01_04	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		S. I. Lipkin	Lipkin	S. I.	"Takoe byvalo..." (Vospominaniia o Sofii Parnok)		20	21	U nee byli dovol'no shirokie plechi, ochen' khoroshaia ulybka, no glaza grustnye, litso - simpatichnoe; molchalivaia. Ia s nei vstrechalsia ne chasto.			
1999_01_05	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		Liliana Khashimova	Khashimova	Liliana	Vpolgolosa		22	38	Kak vot seichas my sidim v temnote, tak i u menia vnutri: tikho, temno, toshno. I vse khochetsia idti kuda-to, daleko-daleko... Ty znaesh', mne inogda kazhetsia, gde-to ochen' daleko menia zhdut, a kto zhdet, gde, zachem - ne znaiu. Vot mne i khochetsia bezhat' tuda, gde zhdut... znat' by tol'ko! - i pobezhala b.			
1999_01_06	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		Ol'ga Gert	Gert	Ol'ga	Vopros bez otveta (rasskaz mezhdu delom za chashkoi chaia)		39	41	Ona byla tsarstvenno igriva i nasmeshlivo tragichna. Ona byla prekrasna vo vsem - v slovakh, v zhestakh, v golose.			
1999_01_07	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	1999	December	1		P. Belopol'skaia	Belopol'skaia	P.	Rol'		42	44	.......Bozhe, da ona, po-moemu, vliubilas'. Neuzheli byvaet liubov' s pervogo vzgliada? ....... Navernoe....... Zaglianem-ka v stsenarii.......			
2000_02_01	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	March	2					Interv'iu s Elenoi Grigor'evnoi i Natal'ei Vorontsovoi-Iur'evoi		2	4	E.G.: Ideia publikatsii pervoi knigi romana "Sneg dlia Mariny" tesno sviazana s deiatel'nost'iu Arkhiva lesbiianok i geev. Sredi nashego sobraniia nakhodiatsia rukopisi avtorov, nikogda ranee ne publikovavshiesia.			
2000_02_02	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	March	2		A. Aksenova	Aksenova	A.	Ty daleko... (stikhi)		5	5				
2000_02_03	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	March	2		Deivid Tuller	Tuller	Deivid	Prikliucheniia "seksual'nogo shpiona" na dache (glava iz knigi)		6	20	No kogda ona poniala, chto vse vser'ez i nadolgo - otnosheniia stali natianutymi. Tak prodolzhalos' neskol'ko let. Do togo dnia, kogda my vtroem zanialis' liubov'iu. Tol'ko togda iz nashikh otnoshenii ushla napriazhennost'.			
2000_02_04	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	March	2		Marina Kulakova	Kulakova	Marina	Ne druzhba, a liubov'... (stikhi)		21	24				
2000_02_05	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	March	2		Liliana Khashimova	Khashimova	Liliana	Vpolgolosa (okonchanie povesti)		25	37	Oni obe podnialis', ostorozhno i trepetno perepleli ruki, i, glotnuv kazhdaia iz chuzhoi riumki, ostalis' stoiat', gliadia drug drugu v glaza. Vedeneeva medlenno opustila na stol fuzher s vinom, Sofiia postavila riadom svoi			
2000_02_06	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	March	2		S. Ia. Parnok	Parnok	S. Ia.	Pis'ma S. Ia. Parnok k N. E. Vedeneevoi		38	44				
2000_03_01	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Walrus		Walrus	Valres: Stikhi		2	3				
2000_03_02	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3					Razve liubit' zhenshchin - eto uzhasno? Eto - prekrasno! (Interv'iu s Maiei Zakharavnoi)		4	10	Razve liubit' zhenshchinu - eto uzhasno? Po-moemu, prekrasno. I komu kakoe delo do togo, kogo ia liubliu? ... Ved' ia, buduchi ledbiiankoi, ne naviazyvaiu svoi predpochteniia okruzhaiushchim! Pochemu zhe oni schitaiut sebia vprave naviazyvat' mne svoiu voliu?			
2000_03_03	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Svetlana Berzina	Berzina	Svetlana	Kak ia stal nenormal'nym		11	23	Kogda ia stal nenormal'nym? Teper' trudno skazat'. Nenormal'nost' uzhe v tom, chto ia davno periodicheski govoriu o sebe kak o "nem", a ne kak o "nei".			
2000_03_04	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Grigorii Chkharmishvili	Chkharmishvili	Grigorii	Odnopolaia liubov' (glava iz knigi "Pisatel' i samoubiistvo")		24	28	Primerov kosvennoi sviazi gomoseksualizma s samoubiistvom dovol'no mnogo: U. Bekford, V. Kniazev, I. Ignat'ev, N. Kassidi, Iu. Misima i t.d. Priamaia zhe prichinno-sledstvennaia sviaz' chashche nabliudaetsia ne u muzhchin, a u zhenshchin.			
2000_03_05	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Polina Alekseeva	Alekseeva	Polina	Pravednaia GALBRIS		29	32	Grecheskaia istoriia chrezvychaino nasyshchena ledengami o mifologizorannoi nyne Ippolite, vyvshei v svoe vremia otvazhnoi, voinstvennoi i derzkoi tsaritsei amazonok.			
2000_03_06	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Ia. Podol'skaia	Podol'skaia	Ia.	Plach Mol'padii		33	33				
2000_03_07	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Tat'iana NeLarina	NeLarina	Tat'iana	"Sviaz'" kak zerkalo nerusskoi revoliutsii seksual'nykh men'shevikov		34	40	Esli by etot fil'm byl zhenshchinoi (i esli mne prostiat takie siurrealisticheskie fantazii), ia by posviatila emu (ei) vsiu svoiu zhizn', a tak posviashchaiu eti skromnye zametki.			
2000_03_08	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	June	3		Ol'ga Gert	Gert	Ol'ga	Moi Misima		41	44	Nado skazat', roman Misimy do takikh rassudenii chitatelia ne dovodit. On opisyvaet somneniia podrostka. I mne eti somneniia blizki i poniatny. Potomu eto - "moi Misima". Vprochem, ne tol'ko moi...			
2000_04_01	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	September	4		Valerii Sandler	Sandler	Valerii	Ocharovannye strannitsy		2	5	Pri vsekh razlichiiakh v obraze i urovne prezhnei zhizni ikh oshchushchenie mira vnutri i vokrug sebia okazalos' do takoi stepeni nastroeno na odnu i tu zhe volnu, a liubye otkloneniia vpravo-vlevo vygliadeli stol' neznachitel'nymi, chto stalo iasno glavnoe: im ne zhit' drug bez druga.			
2000_04_02	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	September	4		Liubov' Zinov'eva	Zinov'eva	Liubov'			23	24	ToC features a pictograph of a hand writing with a pen on a scroll. The actual contribution is a set of poems.			
2000_04_03	Ostrov	khudozhestvenno-publitsisticheskii i radikal'no-feministskii zhurnal	2000	September	4		Natal'ia Vorontsova-Iur'eva	Vorontsova-Iur'eva	Natal'ia	Tanets		8	26	"No ved' ona tozhe liubit menia," prosheptala ona. "Togda chego tebe ne khvataet?" "Liubvi," tikho skazala ona.			
