Entry ID	Journal Title 	Secondary Title	Year	Month	Issue	Section	Author, Original	Author LN, Original	Author FN, Original	Contribution Title	Genre (As indicated in ToC)	Start Page	End Page	Notes	Place	Publisher
1995_01_01	РИСК		1995		1		Марина Козлова	Козлова	Марина	Arboretum. Повесть	Повесть	2				
1995_01_02	РИСК		1995		1		Александр Ильянен	Ильянен	Александр	Истуар д'амур. Фрагмент романа	Фрагмент романа	23				
1995_01_03	РИСК		1995		1		Александр Анашевич	Анашевич	Александр	Девушки. Пьеса	Пьеса	34				
1995_01_04	РИСК		1995		1		Петр Красноперов	Красноперов	Петр	Из цикла "Серебряная собачка". Голубые верлибры	Голубые верлибры	45				
1995_01_05	РИСК		1995		1		Дмитрий Волчек	Волчек	Дмитрий	Стихи		47				
1995_01_06	РИСК		1995		1		Сергей Круглов	Круглов	Сергей	Стихи		49				
1995_01_07	РИСК		1995		1		Дмитрий А. Пригов	А. Пригов	Дмитрий	Мой милый ласковый друг. Книга стихов	Книга стихов	55				
1995_01_08	РИСК		1995		1		Ярослав Могутин	Могутин	Ярослав	Стихи		62				
1995_01_09	РИСК		1995		1		Дмитрий Соколов	Соколов	Дмитрий	Стихи		66				
1995_01_10	РИСК		1995		1		Майкл Мэйо	Мэйо	Майкл	Стихи		68		пер. с английского Д. Кузьмина		
1995_01_11	РИСК		1995		1		Лия Абеляр	Абеляр	Лия	Стихи		68				
1995_01_12	РИСК		1995		1		Евгений Тетерин	Тетерин	Евгений	Стихи		68				
1995_01_13	РИСК		1995		1	АРХИВ	Анастасия Цветаева	Цветаева	Анастасия	Стихи		69				
1995_01_14	РИСК		1995		1	ПОЛЕМИКА	Егор Городецкий	Городецкий	Егор	Natura naturala		70		Мишель Фуко: Предисловие переводчика		
1995_01_15	РИСК		1995		1	ПАНТЕОН	Ярослав Могутин	Могутин	Ярослав	Великий Вор (Жан Жене в России и на Западе)	 	72				
1995_01_16A	РИСК		1995		1	ГОСТЕВАЯ ЛОЖА. Журнал "КАБИНЕТ"	Виктор Тупицын	Тупицын	Виктор	Беседа с Тимуром и Африкой		79				
1995_01_16B	РИСК		1995		1	ГОСТЕВАЯ ЛОЖА. Журнал "КАБИНЕТ"	Маргарита Тупицына	Тупицына	Маргарита	Беседа с Тимуром и Африкой		79				
1995_01_17	РИСК		1995		1	ГОСТЕВАЯ ЛОЖА. Журнал "КАБИНЕТ"	Сергей Ануфриев	Ануфриев	Сергей	О проблемах психосексуальной ориентации в ленинградской художественной среде		82				
1995_01_18	РИСК		1995		1	ГОСТЕВАЯ ЛОЖА. Журнал "КАБИНЕТ"	Михаил Рыклин	Рыклин	Михаил	"Коллективные тела речевой культуры..."		83				
1995_01_19	РИСК		1995		1	ГОСТЕВАЯ ЛОЖА. Журнал "КАБИНЕТ"	Чарльз Лесли	Лесли	Чарльз	Живые картины Вильгельма фон Глёдена		83		пер с английского Е. Андреевой		
1995_01_20	РИСК		1995		1		Зинаида Гиппиус	Гиппиус	Зинаида	Вечер у барона Г.		88		Из очерка "На берегу Ионического моря"		
1995_01_21	РИСК		1995		1		Анакреон	Анакреон		Анакреон в переводах XIX века		92				
1995_01_22	РИСК		1995		1		Михаил Кралин	Кралин	Михаил	История одной фотографии		94				
