Issue #	Year	Source	Section	Original Citation	
1	1985	http://kolonna.mitin.com/archive/mj01/	поэзия	А.Т.Драгомощенко. УЖИН С ПРИВЕТЛИВЫМИ БОГАМИ	
1	1985	http://kolonna.mitin.com/archive/mj01/	проза	Юрий Галецкий. ЧАЕПИТИЕ В ГОНДУРАСЕ	
1	1985	http://kolonna.mitin.com/archive/mj01/	проза	Карсон Маккаллерс. ОТРАЖЕНИЕ В ЗОЛОТОМ ГЛАЗУ, перев. с англ. Б. Останина	
1	1985	http://kolonna.mitin.com/archive/mj01/	Entertainment	Ольга Комарова. КРЫСА	
1	1985	http://kolonna.mitin.com/archive/mj01/	Россия на Западе	Лев Друскин. НОВЫЕ СТИХИ	
1	1985	http://kolonna.mitin.com/archive/mj01/	Россия на Западе	Патриция Блэйк. СОВЕТСКАЯ ЛИТЕРАТУРА ДВИЖЕТСЯ НА ЗАПАД, пер. с англ. Л.Д.	
1	1985	http://kolonna.mitin.com/archive/mj01/	Коллекция	Дж.Д.Лигалл. Дамс-ДЭЙС	
1	1985	http://kolonna.mitin.com/archive/mj01/	Календарь	Джон Лео. СЕКС. СМЕРТЬ И КРАСНАЯ ШАПОЧКА. пер. Э.Фл.	
2	1985	http://kolonna.mitin.com/archive/mj02/	поэзия	Игорь ЛАПИНСКИЙ. Стихотворения разных лет	
2	1985	http://kolonna.mitin.com/archive/mj02/	поэзия	Бахыт КЕНЖЕЕВ. Новые стихи	
2	1985	http://kolonna.mitin.com/archive/mj02/	проза	Елена ИГНАТОВА. Правдивый рассказ о том, как некий рыцарь Педивер обманом обезглавил жену свою, как принял он обет искупить вину, странствовал и прибыл к римскому папе, и как, раскаявшись, окончил дни свои в нашем грешном мире	
2	1985	http://kolonna.mitin.com/archive/mj02/	проза	Борис ВИАН. Убийца, Забавный спорт, Материнство - рассказы, перев. с франц. О.Волчек	
2	1985	http://kolonna.mitin.com/archive/mj02/	драматургия	Жан КОКТО. Орфей, пьеса в одном действии с перерывом, перев. с франц.	
2	1985	http://kolonna.mitin.com/archive/mj02/	entertainment	Проза и поэзия ДЖЕКСОНА	
2	1985	http://kolonna.mitin.com/archive/mj02/	изыскания	Вячеслав БЕЛКОВ. Расследование ведет Фолкнер	
2	1985	http://kolonna.mitin.com/archive/mj02/	коллекция	Людвиг ФОН ТЕЛИАН. Из книги "Четыре содержания", перев. с австрийского Дм.Волчек, предисловие А.Т.Д.	
2	1985	http://kolonna.mitin.com/archive/mj02/	военные действия	Аркадий ДРАГОМОЩЕНКО. В зоне одушевления	
2	1985	http://kolonna.mitin.com/archive/mj02/	публицистика	Лев ЯСНОПОЛЯНСКИЙ. Три очерка	
2	1985	http://kolonna.mitin.com/archive/mj02/	мир вокруг нас	Д.КРОТОВ. Живая и мертвая вода	
2	1985	http://kolonna.mitin.com/archive/mj02/	редакционная почта		
3	1985	http://kolonna.mitin.com/archive/mj03/	поэзия	Алексей ПАРЩИКОВ. Я жил на поле Полтавской битвы	
3	1985	http://kolonna.mitin.com/archive/mj03/	поэзия	Нина САМОЙЛОВИЧ. Стихотворения разных лет	
3	1985	http://kolonna.mitin.com/archive/mj03/	коллекция	Хорхе Луис БОРХЕС. Стена и книги. Валери как символ, перев. М. Хазина	
3	1985	http://kolonna.mitin.com/archive/mj03/	коллекция	Герман ГЕССЕ. Казнь. Китайская легенда. Притча о слепцах. О влюбленном юноше, перев. В. Линейкина	
3	1985	http://kolonna.mitin.com/archive/mj03/	коллекция	Пол БОУЛЗ. Гиена, перев. с англ. А. Драгомощенко	
3	1985	http://kolonna.mitin.com/archive/mj03/	коллекция	Дональд БАРТЕЛМ. Похищение в серале, перев. с англ. О. Воейковой	
3	1985	http://kolonna.mitin.com/archive/mj03/	театр	Сэмюэл БЕККЕТ. Звуки шагов, перев. Д.Волчека	
3	1985	http://kolonna.mitin.com/archive/mj03/	театр	Карсон МАККАЛЛЕРС. Корень квадратный из прекрасного, перев. М. Позняковой	
3	1985	http://kolonna.mitin.com/archive/mj03/	беседы	С Сергеем Курехиным и Борисом Гребенщиковым	
3	1985	http://kolonna.mitin.com/archive/mj03/	беседы	С Родионом (беседовал Д. Волчек)	
3	1985	http://kolonna.mitin.com/archive/mj03/	беседы	Споры о поэзии Алексея Парщикова (участвуют Б. Иванов, С. Стратоновский, Д. Волчек, А.Кучерявкин)	
3	1985	http://kolonna.mitin.com/archive/mj03/	беседы	Дискуссия о Новом Театре	
3	1985	http://kolonna.mitin.com/archive/mj03/	еntertainment	Игорь АДАМАЦКИЙ. Из книги "Притчуды"	
3	1985	http://kolonna.mitin.com/archive/mj03/	еntertainment	Легенды Кавказа, записанные ученицей 8-го класса, публикация С. Коровина	
3	1985	http://kolonna.mitin.com/archive/mj03/	еntertainment	Ю.А. Дубасов - поэт, публикация В. Эрля	
4	1985	http://kolonna.mitin.com/archive/mj04/	поэзия	Владимир КУЧЕРЯВКИН. Приближение: облака и степи	
4	1985	http://kolonna.mitin.com/archive/mj04/	поэзия	Дмитрий ВОЛЧЕК. Охотник, Хуанита, синтаксис Дрездена	
4	1985	http://kolonna.mitin.com/archive/mj04/	поэзия	Микалоюс ГИНТАС. О.В. де Милош - Оскар Милошюс	
4	1985	http://kolonna.mitin.com/archive/mj04/	проза	Сергей КОРОВИН. Приближаясь, и становясь все меньше и меньше	
4	1985	http://kolonna.mitin.com/archive/mj04/	изыскания	Александр СТЕПАНОВ. Леонид Аронзон, главы о поэтике	
