Journal	Issue	Year	Section	Source	Full Citation
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Марина Козлова. Arboretum: Повесть
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Александр Ильянен. Истуар д'амур: Фрагмент романа
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Александр Анашевич. Девушки: Пьеса
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Петр Красноперов. Голубые верлибры: Из цикла "Серебряная собачка"
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Дмитрий Волчек. Стихи
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Сергей Круглов. Стихи
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Дмитрий А. Пригов. Мой милый ласковый друг: Книга стихов
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Ярослав Могутин. Стихи
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Дмитрий Соколов. Стихи
РИСК	1	1994		http://az.gay.ru/books/index_magazines.html	Майкл Мэйо (пер. с английского Д. Кузьмина), Лия Абеляр, Евгений Тетерин. Стихи
РИСК	1	1994	АРХИВ	http://az.gay.ru/books/index_magazines.html	Анастасия Цветаева Стихи
РИСК	1	1994	ПОЛЕМИКА	http://az.gay.ru/books/index_magazines.html	Егор Городецкий. Natura naturala. Мишель Фуко: Предисловие переводчика
РИСК	1	1994	ПАНТЕОН	http://az.gay.ru/books/index_magazines.html	Ярослав Могутин. Великий Вор (Жан Жене в России и на Западе)
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Журнал "Кабинет"
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Маргарита и Виктор Тупицыны. Беседа с Тимуром и Африкой
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Сергей Ануфриев. О проблемах психосексуальной ориентации в ленинградской художественной среде
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Михаил Рыклин. "Коллективные тела речевой культуры..."
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Чарльз Лесли. Живые картины Вильгельма фон Глендена (пер. с английского Е. Андреевой)
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Зинаида Гиппиус. Вечер у барона Г. (Из очерка "На берегу Ионического моря")
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Анакреон в переводах XIX века.
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Михаил Кралин. История одной фотографии.
РИСК	1	1994	ГОСТЕВАЯ ЛОЖА	http://az.gay.ru/books/index_magazines.html	Гизела Бляйбтрой-Эренберг. Об апокрифическом романе Оскара Уайльда (пер. с немецкого В. Жумагалиева)
РИСК	1	1994	РИЗОМА?	http://az.gay.ru/books/index_magazines.html	Басыр Зайцев. Виктор Коротаев: поэт-чаша.
РИСК	1	1994	РИЗОМА?	http://az.gay.ru/books/index_magazines.html	Алексей Зосимов. Заметки о гомофобии.
РИСК	1	1994	НЕНАРОКОМ	http://az.gay.ru/books/index_magazines.html	Исикава Табукобу
РИСК	1	1994	НЕНАРОКОМ	http://az.gay.ru/books/index_magazines.html	Леонид Аронзон
РИСК	2	1996		http://az.gay.ru/books/index_magazines.html	Составление Алексея Пурина Труды Феогнида.
РИСК	2	1996		http://az.gay.ru/books/index_magazines.html	Александр Анашевич. Попа счастья: Пьеса для детского музыкального театра
РИСК	2	1996		http://az.gay.ru/books/index_magazines.html	Зуфар Гареев. Ренессанс. Рассказ
РИСК	2	1996		http://az.gay.ru/books/index_magazines.html	Вадим Калинин. Журчалка: Рассказ
РИСК	2	1996		http://az.gay.ru/books/index_magazines.html	Вадим Калинин. Попытка: Рассказ
РИСК	2	1996		http://az.gay.ru/books/index_magazines.html	Андрей Пчелин. Волшебная флейта
